PF Rating,Team,Pos,Player,Prop,L10 Avg,L10 Diff,L5 Avg,L5 Diff,Odds,Streak,Matchup,2023,2024,H2H,L5,L10,L20,L30
42.5,DEN,C,Nikola Jokic,o1.5 Steals,1.5,0,1.4,"'-0.1","'-125",0,25,30/78,31/60,6/18,1/5,3/10,9/20,15/30
36,DEN,SF,Michael Porter Jr.,o17.5 Pts,16.2,"'-1.3",16,"'-1.5","'-106",0,11,41/80,33/63,8/16,1/5,3/10,9/20,12/30
45.3,DEN,SF,Michael Porter Jr.,o26.5 PRA,26.6,0.1,26.2,"'-0.3","'-115",0,9,35/80,33/63,11/16,1/5,3/10,9/20,12/30
34.6,DEN,SF,Michael Porter Jr.,o19.5 PA,17.9,"'-1.6",17.4,"'-2.1","'-105",0,7,36/80,33/63,8/16,1/5,3/10,8/20,11/30
43,IND,C,Obi Toppin,o14.5 PRA,11.9,"'-2.6",11.4,"'-3.1","'+105",0,25,44/82,31/61,6/9,1/5,3/10,9/20,16/30
68.8,CHA,PF,Miles Bridges,o0.5 Steals,0.5,0,1,0.5,"'-135",1,22,43/69,26/51,2/3,3/5,3/10,9/20,15/30
47.1,CHA,SG,Josh Green,o5.5 Pts,4.3,"'-1.2",2,"'-3.5","'-121",0,24,35/56,30/59,4/4,0/5,3/10,10/20,15/30
47.6,CHA,SG,Josh Green,o7.5 PA,6.4,"'-1.1",3.6,"'-3.9","'-115",0,25,34/56,30/59,4/4,0/5,3/10,10/20,15/30
54.4,DEN,PG,Russell Westbrook,o22.5 PRA,21.9,"'-0.6",25.2,2.7,"'-113",2,10,24/68,30/59,3/7,3/5,3/10,9/20,18/30
52,PHI,SF,Kelly Oubre Jr.,o1.5 Ast,1.4,"'-0.1",2.2,0.7,"'+115",0,6,27/67,30/60,4/6,3/5,3/10,11/20,17/30
30.7,HOU,F,Tari Eason,o1.5 Steals,1.5,0,1.4,"'-0.1","'+120",0,10,9/22,22/44,0/7,1/5,3/10,7/20,14/30
50.3,SA,PG,Chris Paul,o16.5 PA,14.9,"'-1.6",16,"'-0.5","'-105",1,21,24/57,32/64,2/4,2/5,3/10,8/20,13/30
41,IND,C,Obi Toppin,o1.5 Ast,1.5,0,1.2,"'-0.3","'+155",0,23,37/82,30/61,3/9,1/5,3/10,7/20,12/30
50.1,ATL,PG,Trae Young,o2.5 3PTM,1.8,"'-0.7",1,"'-1.5","'+102",0,30,28/53,30/61,3/4,1/5,3/10,8/20,15/30
42.3,ATL,SF,Zaccharie Risacher,o0.5 Steals,0.7,0.2,0.2,"'-0.3","'-165",1,16,0/0,29/59,1/1,1/5,3/10,9/20,14/30
40.1,HOU,PG,Fred VanVleet,o5.5 Ast,4.5,"'-1",4.4,"'-1.1","'+108",0,30,54/73,23/47,5/7,1/5,3/10,9/20,14/30
44.7,CLE,PF,Dean Wade,o0.5 Steals,0.4,"'-0.1",0.4,"'-0.1","'+110",2,9,23/54,22/45,2/3,2/5,3/10,8/20,14/30
68.3,CLE,SF,Isaac Okoro,o0.5 Steals,0.4,"'-0.1",0.6,0.1,"'-175",1,26,38/68,19/39,2/5,2/5,3/10,8/20,13/30
39.3,DEN,SF,Michael Porter Jr.,o2.5 3PTM,2,"'-0.5",1.6,"'-0.9","'+108",0,15,39/80,31/63,12/16,2/5,3/10,7/20,13/30
42.2,ATL,SG,Dyson Daniels,o0.5 Blocks,0.5,0,0.4,"'-0.1","'+155",1,13,21/60,29/61,3/6,1/5,3/10,8/20,12/30
59.9,CLE,C,Jarrett Allen,o10.5 Reb,8.9,"'-1.6",11,0.5,"'-105",1,28,35/76,31/65,1/5,3/5,3/10,10/20,14/30
27.1,IND,C,Myles Turner,o8.5 RA,7.7,"'-0.8",7.4,"'-1.1","'+105",0,16,32/77,27/57,3/9,1/5,3/10,7/20,13/30
62,HOU,PG,Fred VanVleet,o1.5 Steals,1.7,0.2,1.8,0.3,"'+135",2,19,29/73,22/47,1/7,2/5,3/10,8/20,11/30
23.7,HOU,C,Alperen Sengun,o15.5 RA,14.7,"'-0.8",14,"'-1.5","'-108",0,15,19/63,29/62,2/9,2/5,3/10,8/20,12/30
48.3,CHA,SF,DaQuan Jeffries,o0.5 Steals,0.3,"'-0.2",0.6,0.1,"'-150",0,6,0/15,14/30,1/2,3/5,3/10,10/20,14/30
